bowler,style
K Juma,Pace
Ahmadullah Shinwari,Pace
WRC Fernando,Spin
S Ishaque,Spin
CMKK Wijerathne,Spin
S Asha,Spin
D Mongia,Spin
Roosh Kalaria,Pace
Monir Hossain,Spin
B Kynman,Pace
WSA Appuhami,Spin
Sumaiya Siddiqi,Spin
RP Kellepotha,Spin
GD Burrows,Pace
R Sakurano-Thomas,Pace
Mehrab Hossain jnr,Pace
Usman Shuja,Pace
Sultan Ahmed,Spin
Cheepurapalli Stephen,Pace
Mohammad Shahzad,Pace
L Griffith,Pace
GA Edwards,Pace
A Gbla,Pace
Vichanath Singh,Pace
KJ McComb,Pace
S Nampiina,Pace
JE Home,Pace
JN Mohammed,Pace
Ijaz Hussain,Pace
C Bull,Pace
C Udekwe,Spin
J Kila,Spin
Arshad Ali,Pace
LMP Simmons,Pace
Fanyan Mughal,Pace
KM Asif,Pace
AR Shetty,Spin
Vinu Kumar,Pace
G Weerasinghe,Spin
Akhil Anil,Pace
IC Porel,Pace
Anique Uddin,Spin
N Balasooriya,Spin
S Mihira,Pace
Pratis GC,Pace
Sahir Naqash,Pace
G Sesay,Pace
Fabid Ahmed,Spin
E Kamara,Pace
Ajay Sarkar,Pace
NND de Silva,Spin
M Nabe,Pace
Gaurav Tiwari,Pace
MJ Ansell,Pace
A Hlubi,Pace
Muhammad Tanveer,Pace
Rajin Saleh,Spin
SA Jacobs,Pace
J Glasgow,Pace
MBA Lamplough,Pace
D Langford-Smith,Pace
A Martin,Pace
Asif Afridi,Spin
C Rumistrzewicz,Pace
V Mansale,Pace
FJM Murray,Pace
NMP Suwandewi,Pace
SF Tiai,Pace
LN Malinga,Pace
Habib Khan,Pace
AP O'Connor,Spin
A Singh,Pace
I Muhawenimana,Spin
Usman Khan,Pace
ST Mendis,Spin
L Cardoso,Spin
Namgay Thinley,Spin
TBM de Leede,Spin
ME Loe,Spin
JH Plom,Spin
Waqar Zalmai,Pace
SL Stewart,Pace
D Suzuki,Pace
E Liddell,Pace
D Kalupahana,Spin
JAJ Nussbaumer,Spin
Amad Butt,Pace
E Schiferli,Pace
H Fennell,Pace
DS Auwardt,Pace
Shafiqullah Ghafari,Spin
Ashutosh Aman,Spin
R Shimwamana,Spin
HKT Udeshana,Spin
E Toguchi-Quinn,Spin
A Price,Pace
JD Cook,Pace
AW O'Brien,Pace
Xu Qian,Spin
M Vijay,Spin
Muhammad Amir,Pace
Sazib Bhuiyan,Pace
Mohammad Ilyas,Pace
PSRK Sudarshan,Spin
SHB Morgan,Pace
L Klusener,Pace
Bishworjit Konthoujam,Spin
S Vashisht,Pace
RC Irani,Spin
Musawar Shah,Spin
R Samson,Pace
Sanjida Akter Meghla,Spin
Ashwin Vinod,Pace
J Blackwood,Spin
M Shumba,Spin
ZL Win,Pace
R Sanjaya,Spin
S Walaza,Pace
Z Evans,Pace
N Brown,Pace
Ibrarul Haq,Pace
Saad Janjua,Pace
A Doddaballapur,Spin
C Olphert,Pace
K Piet,Pace
S Nishshanka,Pace
DJ Gibb,Pace
PE Kruger,Pace
T Mathew,Spin
J Neill,Pace
Vikas Yadav,Pace
G Singh,Spin
CM Greechan,Pace
Mengting Liu,Pace
Muhammad Asim,Pace
V Pennazza,Pace
JS Pooranakaran,Pace
Utkarsh Jain,Pace
G Voll,Pace
CK Boycott,Pace
S Kato,Pace
M Penna,Spin
B Biza,Pace
AH Hooda,Pace
RV Scholes,Pace
AF Ifill,Pace
A Zimunu,Spin
ST de Silva,Spin
MK Tiwary,Pace
RG Aga,Pace
JAR Blain,Pace
CB Simmons,Pace
R de Silva,Spin
Aysha,Spin
Waqas Maqsood,Pace
Rasikh Salam,Pace
J Drysdale,Pace
TA Findlay,Pace
LJ Myott,Pace
V Vira,Spin
Abhay Negi,Spin
AAhan Achar,Spin
R Allen,Spin
AL Olliver,Pace
EC Bargna,Pace
SL Kerber,Pace
Akeem Jordan,Pace
C Floyd,Spin
Monu Kumar,Pace
GJ Gibbs,Pace
P Malav,Pace
BM Edmondson,Pace
K Upadhyay,Pace
Rahmatullah Mangal,Pace
Ayush Jamwal,Spin
SE Rutherford,Pace
AN Kervezee,Pace
JP Sarro,Pace
R Koshitha,Spin
AJ Parmar,Pace
H Silver-holmes,Pace
C Outerbridge,Pace
Harishankar Reddy,Pace
N Harman,Pace
MS Beresford,Pace
LP van der Westhuizen,Pace
Shahil Momin,Spin
BT Slater,Pace
R Sanjay Yadav,Pace
NR Gunasekera,Pace
JE Ronalds,Pace
Sagar Udeshi,Spin
I Kamara,Spin
JL Jaggesar,Spin
Abdullah Akbarjan,Spin
J Shaju,Pace
M Syrioti,Pace
R Immadi,Spin
A Kirschbaum,Pace
Owais Ahmed,Pace
GE Kidd,Pace
MW Downes,Pace
S Yeshi,Spin
F de Wet,Pace
Pritam Das,Spin
HV Mandhyan,Spin
Vikash Singh,Pace
Nonoha Yasumoto,Spin
JJ Davidson,Pace
HHC Gunaratne,Spin
CR Suryawanshi,Spin
JC Wainman,Pace
M Dlamini,Spin
BJ Hodge,Pace
LC Le Tissier,Pace
Kanwar Abhinay,Pace
AM Tribe,Spin
N Mutasa,Spin
RS Primus,Spin
MSL Taylor,Pace
RK Patel,Spin
M Aboagye,Spin
K Chigora,Spin
Joginder Sharma,Pace
Jalaj S Saxena,Spin
Luqman Butt,Spin
Rejaur Rahman,Spin
AM Ghazanfar,Spin
PSU Fernando,Spin
AJ Redmond,Pace
Ahmed Daniyal,Pace
M Budaza,Pace
R Kalimuthu,Pace
L Malino,Spin
CJ Russell,Pace
Mihir Hirwani,Spin
WT O'Donnell,Pace
E Marx,Pace
AH Miller,Pace
Mehdi Hassan,Spin
PR George,Spin
Najjam Shahzad,Spin
SA Mothoa,Spin
Ravi Teja,Spin
N Peter,Pace
Asif Ali,Spin
NJ Browne,Pace
E Kubwimana,Pace
L Bull,Pace
Inam-ul-Haq,Spin
S Conteh,Pace
NA Rathva,Spin
EL Bartram,Pace
NC Monteiro,Pace
J Nyirankundineza,Pace
Nestor Dhamba,Spin
JS Henriksen,Pace
Ravi Kiran,Pace
P Sarraf,Spin
JA DeSilva,Pace
D Foerster,Pace
KJ Coetzer,Pace
ROC Dunka,Pace
S Georgota,Pace
MA Baig,Spin
A Dagar,Pace
KAR Hodge,Pace
Viktoria Frey,Pace
JC McNally,Pace
A Makri,Spin
Jahandad Khan,Pace
GD Drummond,Spin
JA Pocklington,Spin
T Makusha,Pace
A Wright,Spin
J Cameron-Dow,Spin
Karuna Bhandari,Spin
FO Kibasu,Spin
N Radhakrishnan,Spin
A Cawley,Spin
Gagandeep Singh,Pace
MBS Jonkman,Pace
KZ Rehmtullah,Spin
S Tyagi,Pace
F Damiao Couana,Pace
JJ Roy,Pace
NT Gamage,Spin
CK Jasmat,Spin
BJ Bennett,Pace
M Ribeiro,Pace
MT Chinouya,Pace
TI Gajanayake,Spin
P Shetty,Spin
MV Pavlovic,Pace
Sajedul Islam,Spin
FDM Devonshire,Spin
RAP Nissanka,Spin
AM Nayar,Spin
Akhilesh Sahani,Spin
A Merritt,Pace
O Davies,Spin
K Fletcher,Pace
MSS Jayawickrama,Spin
Mohammad Aadil Alam,Spin
Pulina Tharanga,Spin
M Alam,Pace
JWA Hawkins,Pace
Y Fourie,Spin
JAD Lawrenson,Pace
BW Harmison,Pace
BGS Mendis,Spin
Senitha Halambage,Spin
HMD Rasangika,Spin
JO Adedeji,Pace
JA Fitzgerald,Pace
AN Petersen,Pace
AB de Villiers,Pace
Zia-ul-Haq,Pace
Chintan Gaja,Pace
HKP Boam,Pace
LL Htun,Pace
B Khumalo,Pace
NRP Scholtz,Pace
JL Savage,Pace
B Whitehouse,Pace
Mohammad Asghar,Spin
L Mbane,Pace
CR Hemphrey,Pace
EHT Moulton,Pace
ACF Stokes,Pace
S Vesawkar,Spin
B Miles,Pace
I van der Woning,Pace
AR Swanepoel,Pace
G Shukla,Pace
Mukhtar Hussain,Pace
H Rathod,Spin
D Scanlon,Pace
Meet Bhavsar,Spin
ZB Lion-Cachet,Pace
Danyal Raja,Spin
E Ochieng,Pace
Alina Aslam,Spin
KS Airee,Spin
S Mosweu,Pace
NN Fernando,Pace
N Brand,Spin
C Cassell,Pace
Akhil Kumar,Pace
M Yunusu Issa,Spin
WPU Madushan,Spin
Raaz Mohammad,Pace
A Ashish Reddy,Pace
SR Bhudia,Pace
AR Nedd,Spin
CD Hinchliffe,Pace
Waqas Barkat,Spin
FA Cossa,Spin
GL Triscari,Pace
PARP Perera,Spin
HER Tyler,Pace
H McKenzie,Pace
AS van Beuge,Pace
KD Richards,Pace
Ahmed Wardak,Pace
M Sarenac,Pace
Karim Janat,Pace
F du Plessis,Pace
Lalhruai Ralte,Pace
LS Barkania,Pace
Ihsanullah,Spin
Nazril Rahman,Pace
PA Desai,Spin
D O'Sullivan,Pace
T Bokako,Pace
CP Singh,Pace
Ammar Khalid,Pace
GW Thomas,Pace
SS Mundhe,Pace
Dewald Pretorius,Pace
C Seleka,Pace
BG Armstrong,Pace
Nik Nur Atiela,Pace
GA Stuurman,Pace
Anjar Tadarus,Pace
KR Ebanks,Pace
Mohammad Irfan (4),Pace
PN Mankad,Spin
T Muzarabani,Pace
R Coker,Pace
JJ Weatherley,Pace
Sachin Kumar,Spin
M Madara,Spin
Sonam,Spin
D Marks,Pace
Sandeep Goud,Pace
RL Jangid,Spin
JJ Huo,Pace
MK Thakur,Pace
BMA Mbida,Pace
S Venkataraman,Spin
RP Arnold,Pace
BC Floros,Pace
A Fujikawa,Pace
DJ Balcombe,Pace
SA Panayan,Spin
MFM Akmal,Spin
K D Patel,Spin
A Ashokan,Pace
Mohammad Kamran,Pace
N Baird,Pace
PF Gallagher,Pace
Suryakant Pradhan,Spin
GE Mathurin,Pace
M Valner,Spin
Saqib Zulfiqar,Spin
F Odhiambo,Pace
SL Elstone,Pace
AM Zepeda,Pace
ARI Umeed,Pace
Lucky Ali,Spin
N Ramesh,Pace
C Chatonzwa,Spin
N Sharma,Pace
T Pradeep,Pace
D Wotu,Pace
JRMVB Sanjaya,Pace
A Kamboj,Pace
Alauddin Babu,Pace
VS Halambage,Spin
ACF Wyatt,Pace
Sidhant Singh,Spin
Mirab Razwan,Spin
G Lalbiakvela,Spin
RJG Palmer,Pace
FC Leydon-Davis,Spin
Imliwati Lemtur,Spin
F Stoman,Pace
DLS van Bunge,Pace
JEI Prasad,Spin
SD Udal,Spin
PE Kulume,Spin
Sumit Ruikar,Spin
MS Warnapura,Spin
ML Green,Pace
Imran Ameer,Spin
Waji Ul Hassan,Pace
Imran Farhat,Spin
U Peace,Spin
Ashwini Balaji,Spin
Irfan Hafejee,Spin
Festus Benn,Pace
TL Greatwood,Pace
OE Newey,Pace
ROL Haydon,Pace
SJ Harbinson,Pace
J Evans,Pace
H Johal,Spin
H Dhavina,Spin
P Kumbhare,Spin
D Kappagoda,Spin
R Punchihewa,Spin
Sagar Trivedi,Pace
MH Illingworth,Spin
JL Ontong,Spin
P Dubey,Spin
M Vumiliya,Spin
OJ Barnes,Pace
SU Ishak,Spin
DK Shetty,Spin
MS Johal,Spin
M Mani,Spin
R Johnston,Pace
Salman Mirza,Pace
DA Marillier,Pace
Mohamed Mahfooz,Spin
A Mene-Ejegi,Spin
Asad Mohammad,Pace
YA Abdulla,Spin
Rahil Shah,Spin
S Wickramasekara,Pace
Aryan Lakra,Spin
Danial Ahmed,Pace
OM Baker,Pace
JA Burrows,Pace
DK Anefie,Pace
K Khejroliya,Pace
W Viraliliu,Pace
AR White,Pace
K Senamontree,Pace
JD Nel,Pace
Amarpal Kaur,Spin
Ekansh Singh,Pace
MO Odumbe,Spin
K Anjali Sarvani,Spin
D Potgieter,Pace
A Sidhu,Spin
ORT Sale,Pace
K Ganesh,Spin
Paing Danu,Spin
RMRDG Rathnayake,Spin
T Hinds,Pace
DJ O'Halloran,Pace
Shafali Verma,Spin
Mohammad Kashif,Spin
H Davids,Pace
MS Rizvi,Spin
G Goudie,Pace
Abdullah Mahmood,Spin
J Baguma,Spin
SAN Maypriani,Spin
C Pengkumta,Spin
D Samuditha,Pace
E Mathew,Pace
KK Donovan,Pace
S Dixit,Spin
Vikramjit Singh,Pace
Nazmul Hossain Shanto,Pace
VY Mahesh,Spin
Waqas Ahmad,Pace
H Agarwal,Pace
V Mitari,Spin
A Kheterpal,Pace
Akash Choudhary,Pace
M Dixit,Pace
WD Balaji Rao,Spin
Asad Shafiq,Spin
D Sabir,Spin
Javeria Khan,Spin
Rajjakuddin Ahmed,Spin
Siyabonga Mahima,Spin
S Kolcunova,Spin
S Godara,Spin
E Karimi,Spin
SJ Andrews,Pace
SR Naidu,Spin
EP Gulbis,Spin
F Akankwasa,Spin
D Tennakoon,Spin
Murid Ekrami,Spin
P Agboya,Spin
Lata Mondal,Pace
TD Chaoana,Spin
DN Phillips,Pace
A Siriwardhana,Spin
K Amuge,Spin
Kamran Shazad,Pace
DA Warner,Pace
AS Raut,Spin
NR Johns-Wickberg,Pace
Junaid Aziz,Spin
R de Swardt,Spin
CW Coombe,Spin
LC Pearson,Spin
A Turkmen,Spin
D Hemalatha,Spin
R Dhar,Pace
A Wanjira,Spin
G Wetherall,Spin
RN Bhatia,Spin
Arun Chaprana,Pace
Karanbir Singh,Pace
CM Wright,Pace
M Magagula,Spin
CN Onwuzulike,Spin
A Natubhai Ahir,Spin
S Gajnabi,Pace
A Mare,Spin
KI Simmonds,Spin
Abid Mushtaq,Spin
J Royal,Spin
Tahmeed Rahman,Spin
S Fouch̩,Spin
W Moutswi,Spin
S Dhadwal,Spin
P Cuinica,Spin
Tanay Thyagarajan,Spin
WJ Lubbe,Spin
SJ Bruce,Spin
K Mahato,Pace
P Ochan,Spin
Shahab Alam,Spin
K Nestor,Pace
M Dale-Bradley,Spin
Akash Singh,Pace
JM Tashkoff,Spin
Y Rodrigo,Pace
B Kgosiemang,Spin
A Martel,Spin
P Ushettige,Spin
S Sadamal,Spin
S Kananji,Spin
CJ Connor,Pace
RJ Robinson,Pace
FDM Karunaratne,Spin
M Martinez,Pace
SD Lad,Spin
Pratik Singh Bais,Spin
KC Thompson,Pace
V Pratap Singh,Spin
G Sanketh,Pace
Adil Butt,Pace
T Perera,Pace
Atif-Ur-Rehman,Pace
T McKeegan,Pace
HC Darley,Pace
N Mabila,Pace
R Hirushan,Spin
AS Browning,Pace
Waseeq Ahmed,Spin
Sheraz Sheikh,Pace
PE Mendonca,Pace
RS Quyn,Pace
T Kolcunova,Pace
A Simelane,Pace
LJ Burger,Pace
C Perry,Pace
LK Hamilton,Pace
Aaron Jones,Spin
MB Harris,Pace
LL Dimba,Pace
SL Munroe,Pace
L Shafeeg,Pace
Ashtuti Kumar,Spin
S Colombage,Spin
SA Britton,Pace
Zeefa Jilani,Spin
CJ Langford,Pace
HV Jones,Pace
MMMS Cooray,Spin
A Savvani,Spin
NK Ariani,Spin
O Matsolo,Pace
C Janik,Pace
J Dawood,Spin
SK Awiah,Pace
RA Austin,Spin
AJ Leonard,Pace
Umair Qasim,Spin
A Das,Pace
DJ Pattinson,Pace
L Barnett,Pace
TRG Hampton,Pace
CR Sarsfield,Pace
L Chipanga,Pace
BRM Taylor,Pace
Mohit Kumar,Pace
DJ Muthuswami,Pace
GKS Gole,Spin
KT Sandher,Spin
MD Stoneman,Pace
F Mutua,Pace
LR Shukla,Spin
S Regmi,Spin
JK Mukhiya,Spin
Raza Hasan,Spin
T Thorpe,Spin
RKJ Dawson,Pace
R Ugarkar,Pace
Muhammad Farooq,Pace
SM Nash,Spin
D Robson,Pace
NRJ Young,Pace
N Master,Pace
D Lohia,Pace
CK Kapugedera,Pace
Ilyas Ahmed,Pace
M Shahbaz Butt,Pace
Wu Juan,Pace
PA Hitchcock,Pace
S Kanankege,Spin
A Vessik,Pace
WJ Cope,Pace
Zawar Farid,Pace
SJ Massiah,Spin
Mohamed Shoib,Spin
Puneet Datey,Spin
C Sosa,Spin
Mayank Mishra,Spin
DS Rathi,Spin
MPP San,Spin
BL Kotze,Pace
L Moises,Pace
M Vervitsioti,Pace
Shahid Ahmadzai,Spin
BF Mailata,Pace
Pappu Roy,Spin
L Mamba,Pace
WA Dilshan,Spin
MA Nyabela,Pace
J Moondra,Spin
MM Baig,Spin
Pargat Singh,Spin
GA Priandana,Spin
J Kowa,Spin
S Wetoto,Spin
Karri Gullem Keen,Spin
CM Edwards,Pace
AL MacDonald,Pace
Aziz Mohammad,Spin
O Ranedoumoun,Pace
T Rossi,Pace
M Deyal,Spin
K Thuchila,Spin
L Anyait,Spin
TT Maposa,Spin
C Gomez,Spin
D Mogan,Pace
Maham Tariq,Spin
Mohamed Khan,Spin
K Birkenstock,Pace
Pankaj Rao,Spin
EM Sampson,Pace
JPR Scantlebury-Searles,Spin
Divyang Hinganekar,Spin
Waheed Ahmed,Pace
F Khaliq,Pace
DKD Warnakulasuriya,Spin
CL Flintoff,Pace
LN Onyango,Spin
Wasim Akram,Pace
LK Newton,Pace
Umer Khan,Spin
A Limdawala,Spin
Yaqoob Ali,Spin
Akash Bhandari,Spin
Ariful Haque,Pace
PI Burgoyne,Pace
S Sharma,Spin
Ilenia Sims,Pace
Waqar Ali,Pace
BD McDonough,Pace
Izharulhaq Naveed,Spin
Pyae Phyo Wai,Spin
KS Gautam,Spin
Zon Lin,Spin
J Blades,Pace
SM Harwood,Pace
Muhammad Moiz,Pace
SMK Waththage,Spin
ML Nkala,Spin
CM Akachukwu,Spin
Rana Dutta,Spin
NM Salonen,Spin
LR Doolan,Spin
YP Dayal,Spin
Ishwar Chaudhary,Spin
JF Thomas,Pace
B Phelenyane,Spin
Shiva Singh,Pace
D Brevis,Spin
S Gooch,Pace
Azyan Farhath,Spin
JKD Andreano,Spin
L di Giglio,Spin
Shashikant Laxman,Spin
MS Wade,Pace
MD Dilshan,Spin
KG Critchell,Spin
KM Chingaipe,Spin
Saber Zakhil,Pace
A Karmacharya,Spin
DNA Ankrah,Pace
JKC Claxton,Spin
E Guehoada,Pace
Mohammad Khalil,Pace
RJ van Vuuren,Pace
Unnikrishnan Manukrishnan,Pace
GR Codrington,Pace
Assad Borham,Pace
PJ Brett,Pace
Adeel Malik,Spin
EL Hawken,Pace
M Gogev,Pace
KL Nagarkoti,Pace
Shafiqul Islam,Pace
SJ Srivastava,Spin
DV Varghese,Spin
MK Anafie,Pace
AJ Hickey,Pace
ASF Sirah,Spin
C Dickson,Pace
DG Weakley,Pace
CS Nascimento,Pace
J Ajiambo,Pace
A Nathwani,Spin
AAP Rivero,Spin
Kanishk Seth,Pace
C Trott,Pace
Ashish Yadav,Pace
Z Pongolo,Pace
L Doneathy,Pace
SH Lewis,Pace
Munir Dar,Spin
NK Tiwari,Spin
AA Gajic,Spin
L Heap,Spin
E Kuncova,Spin
Abdul Naser Baluch,Spin
Taranjit Singh,Pace
L Klokgieters,Pace
Dilbar Hussain,Pace
Aminul Islam,Spin
D Johnson,Pace
S Simetu,Pace
Tanush Kotian,Spin
Tahir Dar,Spin
AD Day,Pace
DT Doram,Pace
Fayaz Khan,Spin
F Eseigbe,Spin
RN Gurbani,Pace
GT Thornton,Pace
M Hayward,Pace
Mohit Avasthi,Pace
AA Paradkar,Spin
M Faraz Akram,Spin
JA Simmons,Pace
DA Blignaut,Pace
MR Pedersen,Pace
Nishita Akter Nishi,Spin
RG More,Pace
A Stocks,Pace
Han Lili,Spin
M Chanthuka,Spin
T Koen,Pace
Asad Ali Rehemtulla,Pace
CA Dry,Pace
Salman Nazar,Spin
Ronald Ebanks,Pace
Milad Momend,Pace
SM Betts,Pace
QWM Gunning,Pace
W Prestwidge,Pace
P Burger,Pace
A Shahi,Pace
DM Braat,Pace
MPGT Ketiyage,Spin
Jannatul Ferdus,Spin
AK Gokoel,Spin
LA Charlesworth,Pace
LH Heaps,Pace
GJ Snyman,Pace
E Niyomugabo,Pace
Sabnam Rai,Spin
Muhammad Saqlain,Spin
Dolar Mahmud,Pace
Babar Ali,Spin
JL Carter,Pace
Rafiullah,Spin
KJ Wolfe,Pace
Ma Ruike,Spin
Tilak Varma,Spin
A Athanaze,Spin
Utkarsh Singh,Spin
Basir Ahamad,Spin
H Deol,Spin
A Harinath,Spin
A Reyes,Pace
VN Watts,Pace
R Ova,Pace
KJ Dudgeon,Pace
T Malinga,Pace
A Galan,Pace
A Bulow,Pace
Umar Amin,Pace
J Louw,Pace
S Desungnoen,Pace
AJ Macleod,Pace
KK Lin Thu,Pace
KL Midwood,Pace
HD Rutherford,Pace
SM Kazi,Spin
RCM Franco,Spin
I Kaushal,Pace
P Mapotsane,Pace
ND Perera,Spin
NJ Pius,Spin
HJH Marshall,Pace
Zeerak Chughtai,Pace
H Lin Aung,Spin
R Telemachus,Pace
Amulya Pandrekar,Spin
ME Trescothick,Pace
Aniket Parikh,Spin
L Denny,Pace
BJ Morris,Pace
CKB Kulasekara,Spin
LI Haoye,Spin
WMN Silva,Spin
D Vihanga,Spin
AC McDermott,Pace
Sohail Ahmed,Pace
Joshua Asia,Pace
PW Gunaratne,Spin
MJ Taylor,Pace
C le Roux,Pace
RD Gudhka,Spin
DB Kotze,Spin
AA Rahayu,Spin
DAM Louis,Spin
RJKTD Ranatunga,Spin
KN Mussa,Spin
OJS Bartlett,Spin
Nathan Smith,Pace
ST Frohnmayer,Spin
Hamid Mahmood,Spin
SR Waugh,Pace
A Adekunle,Spin
Nimish Lathief,Spin
A Vaidya,Spin
H Venkataram,Spin
GR Hay,Pace
CPPM Sadun,Spin
K Mishara,Spin
Chare Smith,Pace
K Christie,Pace
J Tuffin,Spin
LF Boucher,Pace
Adeel Raja,Pace
AO Suji,Spin
D Visser,Pace
A Wanninayake,Spin
Shakeeb Ahmed,Spin
Mrinmoy Dutta,Spin
Gulbadin Naib,Pace
SS Majumder,Spin
M Mpongwana,Pace
L Erdenebulgan,Pace
M Charlie,Spin
C Wickramasinghe,Pace
K Cawte,Spin
Hazrat Bilal,Pace
A Dcosta,Spin
G Mahlokwana,Spin
AM Healey,Spin
Abbas Ghani,Pace
P Prasanth,Spin
WD Bragg,Pace
BA Pathan,Pace
W Salzmann,Pace
MJ Barry,Pace
NG Jones,Pace
AL Mundundo,Spin
V Yabaki,Spin
Sangita Rai,Spin
M Deveraj,Spin
Writtick Chatterjee,Spin
PBDU Madusanka,Spin
C Bray,Pace
ER Links,Pace
ML Lewis,Spin
I Edwards,Pace
MJ Hansen,Pace
A Chenthamara,Spin
Z Mali,Pace
Jakob Gul,Pace
SET Friday,Spin
J Bulele,Pace
F Tanguy,Pace
Jayasooriya,Spin
JAM Henri,Spin
L Jie,Pace
Muhammad Kashif,Spin
Y Graves,Pace
Ali Masood,Pace
P Sharma,Pace
K Peterson,Pace
M Jele,Pace
V Sibanda,Pace
Shoaib Sarwar,Spin
Ram Dayal,Spin
Zaker Taqawi,Spin
Rex Rajkumar,Pace
J Butler,Pace
CN Phillips,Pace
D Koralalage,Spin
K Kavindi,Pace
CJB McCullough,Pace
Ravikumar Thakur,Spin
HL Fenby,Pace
Kim Daeyeon,Pace
K Piyumal,Spin
Abdul Samad,Spin
Mohammad Shukri,Spin
T Nightingale,Spin
Ameel Mauroof,Pace
N Gwanzura,Spin
AM Ali,Spin
K Fubler,Pace
PRP Boissevain,Spin
S Nirmal,Spin
S Mukuddem,Pace
Wahidullah Sahak,Pace
Wang Meng,Spin
DAL Paramitha,Spin
Ashith Rajiv,Pace
SR Thadani,Spin
D Ranatunga,Pace
JL Aras,Spin
S Selvaraj,Spin
MK Lomror,Spin
A Thorpe,Spin
D Penrhyn Jones,Spin
Shah Abrar Hussain,Spin
P Maduwantha,Spin
M Mwangi,Spin
M Heshan,Spin
Haroon Shahid,Spin
S Horley,Spin
AG Murtaza,Spin
E Hoskin,Spin
N Ncube,Spin
S Kizito,Spin
M Clarke,Pace
Bakhtyar Nabi,Spin
Varun Choudhary,Spin
O Keitsemang,Spin
ATS Silva,Spin
CP Savage,Spin
S Williams,Spin
M Ozturk,Pace
Shoaib Rafiq,Spin
P Gheewala,Spin
K Srandeva,Spin
Hassnain Shah,Spin
O Lefaga,Spin
Wang Huiying,Spin
CC van Slobbe,Spin
Imran Arif,Spin
B Ito-Davis,Spin
ACI Lovell,Spin
R Kumar,Pace
Yasir Iqbal,Spin
D Smit,Spin
Bavanaka Sandeep,Spin
TC O'Connor,Pace
JI de Villiers,Pace
SJ Ally,Spin
LA McBride,Pace
W Liengprasert,Spin
P Agrawal,Spin
Shashank Singh,Spin
Sadamali Bhakshala,Spin
GKR McKinley,Pace
M O'Reilly,Pace
TMA Leslie,Spin
I Bist,Spin
R McKenna,Pace
Dikshanshu Negi,Pace
GH O'Brien,Spin
O Erdenebaatar,Pace
MP Yadav,Spin
Shahid Mahmood,Pace
RK Vishwakarma,Pace
P Suyal,Pace
Thuya Aung,Pace
L Taylor,Pace
J Sanele,Pace
HL Tau,Pace
Tian Sen Qun,Pace
PC Connell,Pace
AE Dyson,Pace
LK Bennett,Pace
Ashfaq Ahmed,Pace
AJ Blake,Pace
Syeda Aroob Shah,Spin
L Qiao,Pace
ABY Smith,Pace
Lamabam Singh,Pace
S Waqas Ahmed,Pace
A Venkatesh,Spin
Zaheer Zahiri,Spin
Krishna Chandran,Pace
Y Avishka,Spin
JT Langridge,Pace
R Mangal,Pace
Riya Sharma,Spin
CB Roposo,Spin
M Beardman,Pace
Qaiser Ali,Spin
Ahmed Shehzad,Spin
Himanshu Bisht,Spin
J Syed Mohammad,Spin
D Nanayakkara,Spin
Ghulam Mudassar,Pace
DR Martyn,Pace
Zara Mohammad,Spin
KKV Perera,Spin
Faheem Nazir,Pace
Nary Thapa,Spin
Azam Khalil,Spin
B Etim,Pace
DS Wesonga,Spin
V Nigam,Spin
RDB Ahir,Spin
NA Gordon,Pace
T Legaabile,Pace
TJ Draca,Pace
Mohammad Afzal,Spin
DL Graham,Pace
P Malemikia,Spin
EJ Tice,Pace
Zeeshan Kukikhel,Pace
S Nsubuga,Spin
K Peddrick,Pace
MSN Ekani,Spin
Waseem Raza,Pace
O Cele,Pace
S Sarandeva,Spin
S Kushretha,Spin
Muhammad Siddiqui,Spin
JS Ndanu,Spin
Rameesha Shahid,Spin
DE Burgess,Pace
EMKB Ekanayake,Spin
T Iosefo,Spin
A Dhingra,Pace
AA Chavan,Spin
AG Rao,Spin
LV Boas,Pace
SKC Randunu,Spin
L Lamin,Spin
RJ Hatchman,Pace
Shahrukh Quddus,Pace
C Webb,Pace
SJ Baard,Pace
TJ Ravenscroft,Pace
P Molkenboer,Spin
H Hiruna,Spin
G Balasooriya,Spin
WK Lai,Spin
Girinath Reddy,Spin
J Bishop,Spin
A Gordon,Pace
CF Snyman,Pace
C Peake,Pace
FF Lellman,Pace
N Nojic,Pace
S Hector,Spin
AC Douglas,Pace
Roshan Alam,Spin
I Goordial-John,Spin
N Vaasili,Pace
Jitin Singh,Spin
Arjun Tendulkar,Pace
R Mondol,Spin
Ruyel Miah,Pace
K Vislapuu,Pace
L Karlsson,Pace
JM Carder,Pace
L Kishan Singha,Spin
N Benjamin,Spin
RA Maringanti,Spin
DD de Soysa,Spin
F Samanyika,Spin
Mohamed Iqbal Noor,Spin
EJ Villani,Pace
MK Hollard,Pace
AR Sylvester,Spin
Vimal Kumar,Spin
Aakash Chand,Spin
Reon King,Pace
S Jyoti,Spin
Tsepo Ndwandwa,Spin
NM Carter,Spin
I Alumo,Spin
Yair Nagavkar,Spin
I Siriwardene,Spin
Muhammad Burhan,Pace
M Phillips,Pace
V Frank,Pace
Nadeem Javed,Spin
P Dimri,Spin
Atharva Ankolekar,Spin
T Takada,Spin
OE Taylor,Pace
B Karki,Pace
AF Aoina,Spin
Nilansh Keswani,Spin
ZAJ Cumming,Pace
DPMD Jayawardene,Spin
